samp,structure,time_manifold,time_weights_for_RLA
50,full,0.0003,551.9934
55,full,0.0003,627.1982
60,full,0.0003,684.4203
65,full,0.0003,723.6132
70,full,0.0025,759.8653
75,full,0.0029,856.766
80,full,0.0003,889.0349
85,full,0.0003,925.6703
90,full,0.0003,985.6612
95,full,0.0003,1074.3934
50,diag,0.0003,72.6227
55,diag,0.0003,80.4371
60,diag,0.0003,87.9301
65,diag,0.0003,96.0848
70,diag,0.0003,102.649
75,diag,0.0003,108.8642
80,diag,0.0003,115.086
85,diag,0.0003,121.7017
90,diag,0.0003,131.3319
95,diag,0.0004,146.1564
