samp,structure,time_manifold,time_weights_optimized_rla,time_weights_LA
50,full,0.0003,39.701,0.0007
55,full,0.0003,41.4989,0.0009
60,full,0.0003,60.5757,0.0016
65,full,0.0003,54.4251,0.0008
70,full,0.0007,72.3868,0.0009
75,full,0.0003,57.0636,0.0011
80,full,0.0003,65.4052,0.001
85,full,0.0003,81.8561,0.0012
90,full,0.0003,84.6832,0.001
95,full,0.0003,90.041,0.0017
50,diag,0.0003,15.1886,0.0007
55,diag,0.0003,18.721,0.0007
60,diag,0.0003,18.6949,0.0009
65,diag,0.0004,21.8299,0.0008
70,diag,0.0003,22.4933,0.0009
75,diag,0.0005,22.7808,0.0013
80,diag,0.0003,22.1494,0.001
85,diag,0.0003,23.6525,0.0017
90,diag,0.0003,26.7606,0.0011
95,diag,0.0004,27.0624,0.0015
